iter	Passed	Remaining
0	166	166146
1	170	85013
2	174	57922
3	178	44370
4	182	36229
5	186	30866
6	190	27012
7	194	24107
8	198	21833
9	202	20022
10	206	18531
11	210	17301
12	214	16251
13	217	15351
14	221	14576
15	225	13894
16	229	13284
17	233	12741
18	237	12266
19	241	11838
20	245	11443
21	249	11081
22	253	10754
23	257	10460
24	261	10191
25	265	9940
26	269	9718
27	274	9514
28	278	9314
29	282	9128
30	286	8952
31	290	8789
32	294	8634
33	299	8518
34	304	8385
35	308	8254
36	312	8129
37	316	8012
38	320	7905
39	325	7800
40	329	7700
41	333	7611
42	337	7520
43	342	7432
44	346	7347
45	350	7267
46	354	7192
47	358	7118
48	362	7042
49	367	6974
50	371	6918
51	375	6839
52	379	6773
53	383	6711
54	387	6658
55	391	6604
56	395	6549
57	400	6497
58	404	6447
59	408	6401
60	412	6354
61	416	6307
62	420	6260
63	425	6217
64	429	6174
65	433	6132
66	437	6090
67	441	6051
68	445	6013
69	450	5978
70	454	5940
71	458	5904
72	462	5868
73	466	5836
74	470	5804
75	475	5775
76	479	5743
77	483	5712
78	487	5685
79	492	5658
80	496	5630
81	500	5603
82	504	5576
83	509	5550
84	513	5523
85	517	5496
86	521	5473
87	526	5456
88	531	5439
89	536	5423
90	541	5412
91	545	5387
92	549	5362
93	553	5339
94	564	5378
95	568	5355
96	572	5333
97	577	5310
98	581	5289
99	585	5267
100	589	5245
101	593	5224
102	597	5206
103	602	5186
104	606	5166
105	610	5145
106	614	5126
107	618	5106
108	622	5089
109	626	5070
110	630	5051
111	634	5034
112	639	5017
113	643	4999
114	647	4984
115	651	4968
116	656	4950
117	660	4933
118	664	4917
119	668	4901
120	672	4884
121	676	4870
122	680	4853
123	684	4838
124	688	4822
125	693	4809
126	697	4795
127	701	4780
128	705	4765
129	709	4750
130	714	4738
131	718	4724
132	722	4710
133	726	4696
134	731	4684
135	735	4674
136	739	4661
137	744	4647
138	748	4633
139	752	4620
140	756	4607
141	760	4595
142	764	4582
143	768	4569
144	773	4558
145	777	4547
146	781	4535
147	785	4524
148	789	4511
149	793	4499
150	798	4487
151	802	4475
152	806	4463
153	810	4452
154	814	4441
155	818	4430
156	822	4418
157	827	4407
158	831	4396
159	835	4385
160	839	4374
161	843	4362
162	847	4351
163	851	4341
164	856	4333
165	860	4323
166	864	4312
167	868	4302
168	873	4294
169	877	4284
170	881	4275
171	885	4265
172	890	4256
173	894	4248
174	898	4237
175	902	4227
176	907	4217
177	911	4209
178	915	4200
179	920	4191
180	924	4182
181	929	4175
182	933	4167
183	937	4159
184	942	4149
185	946	4140
186	950	4131
187	954	4121
188	957	4110
189	961	4100
190	966	4091
191	970	4082
192	974	4073
193	977	4063
194	981	4053
195	985	4042
196	989	4033
197	993	4023
198	997	4014
199	1001	4004
200	1005	3995
201	1009	3986
202	1013	3977
203	1017	3968
204	1020	3959
205	1024	3950
206	1028	3941
207	1032	3932
208	1036	3923
209	1040	3914
210	1044	3905
211	1048	3896
212	1052	3887
213	1055	3877
214	1059	3868
215	1063	3859
216	1067	3850
217	1071	3842
218	1075	3833
219	1078	3825
220	1082	3816
221	1086	3807
222	1090	3799
223	1094	3790
224	1098	3782
225	1101	3773
226	1105	3765
227	1109	3757
228	1113	3748
229	1117	3740
230	1121	3732
231	1124	3720
232	1127	3713
233	1131	3705
234	1135	3697
235	1139	3689
236	1143	3681
237	1147	3673
238	1151	3665
239	1155	3658
240	1158	3650
241	1162	3642
242	1166	3635
243	1171	3628
244	1175	3621
245	1179	3614
246	1183	3607
247	1187	3601
248	1191	3594
249	1195	3586
250	1199	3579
251	1203	3571
252	1207	3564
253	1211	3556
254	1214	3549
255	1218	3542
256	1222	3534
257	1226	3527
258	1230	3520
259	1234	3513
260	1238	3506
261	1242	3499
262	1246	3491
263	1249	3484
264	1253	3477
265	1257	3470
266	1261	3463
267	1265	3456
268	1268	3447
269	1272	3440
270	1275	3431
271	1279	3424
272	1283	3417
273	1287	3410
274	1291	3403
275	1295	3397
276	1298	3390
277	1302	3383
278	1314	3398
279	1318	3391
280	1322	3384
281	1326	3377
282	1330	3370
283	1334	3363
284	1337	3356
285	1341	3349
286	1345	3343
287	1349	3336
288	1353	3329
289	1357	3322
290	1361	3316
291	1365	3309
292	1368	3303
293	1372	3296
294	1376	3290
295	1380	3283
296	1385	3278
297	1389	3272
298	1392	3265
299	1396	3259
300	1400	3252
301	1404	3246
302	1408	3239
303	1412	3233
304	1416	3227
305	1420	3220
306	1424	3214
307	1428	3208
308	1431	3202
309	1435	3195
310	1439	3189
311	1443	3182
312	1447	3176
313	1451	3170
314	1455	3164
315	1458	3157
316	1462	3151
317	1466	3145
318	1470	3139
319	1474	3132
320	1478	3126
321	1482	3120
322	1486	3114
323	1490	3108
324	1493	3102
325	1497	3096
326	1501	3091
327	1506	3085
328	1509	3079
329	1512	3071
330	1516	3065
331	1520	3059
332	1524	3053
333	1528	3047
334	1532	3041
335	1536	3035
336	1540	3030
337	1544	3024
338	1548	3018
339	1552	3012
340	1555	3007
341	1559	3001
342	1563	2995
343	1566	2986
344	1569	2980
345	1573	2974
346	1577	2968
347	1581	2963
348	1585	2957
349	1589	2951
350	1593	2946
351	1597	2940
352	1600	2934
353	1604	2928
354	1608	2922
355	1612	2916
356	1616	2911
357	1620	2905
358	1624	2900
359	1628	2894
360	1631	2888
361	1635	2883
362	1639	2877
363	1643	2871
364	1647	2866
365	1649	2857
366	1653	2851
367	1657	2845
368	1660	2840
369	1664	2834
370	1668	2828
371	1672	2823
372	1676	2818
373	1680	2812
374	1684	2807
375	1688	2802
376	1692	2796
377	1696	2791
378	1700	2786
379	1704	2781
380	1708	2775
381	1712	2770
382	1716	2765
383	1721	2760
384	1725	2755
385	1729	2750
386	1733	2745
387	1737	2740
388	1741	2735
389	1745	2730
390	1749	2725
391	1753	2720
392	1757	2715
393	1762	2710
394	1766	2705
395	1770	2700
396	1774	2695
397	1779	2690
398	1783	2685
399	1787	2680
400	1791	2675
401	1795	2670
402	1799	2665
403	1803	2660
404	1807	2655
405	1811	2650
406	1815	2645
407	1820	2640
408	1824	2636
409	1828	2631
410	1832	2626
411	1836	2621
412	1841	2617
413	1845	2612
414	1850	2608
415	1854	2603
416	1859	2599
417	1863	2594
418	1867	2589
419	1871	2585
420	1876	2580
421	1880	2575
422	1884	2570
423	1888	2565
424	1892	2561
425	1897	2556
426	1901	2551
427	1905	2547
428	1909	2542
429	1914	2537
430	1918	2532
431	1922	2527
432	1926	2523
433	1930	2518
434	1934	2513
435	1939	2508
436	1943	2503
437	1946	2498
438	1950	2493
439	1954	2487
440	1959	2483
441	1963	2478
442	1967	2473
443	1971	2468
444	1975	2463
445	1979	2458
446	1983	2453
447	1986	2448
448	1990	2442
449	1994	2437
450	1999	2433
451	2003	2428
452	2007	2423
453	2011	2418
454	2014	2413
455	2018	2408
456	2022	2403
457	2026	2398
458	2030	2393
459	2034	2387
460	2038	2383
461	2042	2377
462	2045	2372
463	2049	2367
464	2053	2362
465	2057	2357
466	2061	2352
467	2065	2347
468	2069	2342
469	2072	2337
470	2077	2332
471	2080	2327
472	2084	2322
473	2088	2317
474	2092	2312
475	2096	2308
476	2100	2302
477	2104	2297
478	2108	2292
479	2111	2287
480	2115	2283
481	2119	2278
482	2123	2272
483	2127	2267
484	2130	2262
485	2134	2257
486	2138	2252
487	2142	2247
488	2146	2242
489	2149	2237
490	2153	2232
491	2157	2227
492	2161	2222
493	2165	2217
494	2169	2212
495	2172	2208
496	2177	2203
497	2180	2198
498	2184	2193
499	2188	2188
500	2192	2183
501	2196	2178
502	2200	2173
503	2203	2168
504	2207	2164
505	2211	2159
506	2215	2154
507	2219	2149
508	2223	2144
509	2227	2140
